,region_residencia,zona,edad,region_nacimiento,residencia_hace_dos_anos,titulo,condicion_actual,ingreso_total_hogar_neto,nivel_pobreza
4089,1,1,41,1,1,4,1,1786416.66666667,3
7329,2,2,29,2,2,0,1,1541104.06666667,3
203,1,1,53,6,1,4,1,2882261.36788732,3
2525,1,1,50,1,1,4,1,0,1
2480,1,1,23,3,1,0,1,1213672.66666667,3
8727,4,2,22,1,4,0,3,37500,1
808,1,1,21,1,1,1,3,1010074,3
542,1,1,39,1,1,4,1,1858098.66666667,3
6944,2,1,40,2,2,4,1,3467235.8,3
745,1,1,32,2,1,0,1,2396846.4,3
5792,1,1,39,1,1,6,1,3195408.66666667,3
1461,1,1,24,1,1,0,1,1088932,3
4464,1,1,44,1,1,6,1,9816269.66666667,3
2531,1,1,45,1,1,3,1,4154297.33333333,3
8721,4,2,36,4,4,4,1,863296.900284976,3
