id,int_date,live1,eminuse,intmob,home3nw,bbhome1f1,smart1,low_budget_e_reader_1_high_2_no_3,Desktop_laptop,printed_books_read,audiobooks_heard,Ebooks_read,phy_public_library,virtual_public_library,library_loan_ebooks,borrow_print_books,help_from_librarian,sit_and_Study,class_to_use_computer,Attend_group_meeting,internet_use_library,library_impact_your_family,library_impact_community,sex,age,age_group,marital,par,Kidage_17,educ2,emplnw,inc,usr,state,estado,Freq_Twitter,Freq_Instagram,Freq_Pinterest,Freq_Facebook,amount_books_read,freq_library_visit,freq_virtual_library_visit,freq_mobile_library_visit,Clus 1,Clus 2,Clus 3,Clus 4,Clus 5,Clus 6
71,40216,3,1,1,1,2,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,1,1,25,Adulto,6,2,0,8,1,3,R,30,New Jersey,0,0,0,0.5555555556,0,0,0,0,0,0.8,0.03,0.02,0.14,0.01
72,40316,2,1,1,1,2,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,27,Adulto,3,1,0,6,3,6,U,48,West Virginia,0.6666666667,0.8333333333,0.5555555556,0,0,0,1,0,0.04,0.22,0.06,0.53,0.08,0.07
73,31616,1,1,1,1,2,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0.5,0.5,1,33,Adulto,6,2,0,4,1,6,U,48,West Virginia,0.2222222222,0.1666666667,0,0.2222222222,0.303030303,0,0,0,0,0,0.99,0,0,0
74,31316,1,1,1,1,2,1,1,1,1,0,1,3,1,1,0,0,0,0,0,0,0,0,2,46,Mediana_edad,1,1,1,6,4,7,U,36,Oklahoma,0.2222222222,0.3333333333,0.2222222222,0.1111111111,0.0505050505,0,0.75,0.75,0,0.03,0.86,0.08,0.03,0
75,31716,2,1,1,1,2,1,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0.5,0.5,1,52,Mediana_edad,3,1,0,8,1,8,S,13,Illinois,0,0,0,0,0.0202020202,0,0,0,0,0.01,0.01,0,0.97,0
76,32616,1,1,1,1,2,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,2,42,Adulto,3,1,0,6,1,99,S,6,Colorado,0,0,0,0.1111111111,0.0404040404,0.5,1,0,0,0.86,0.09,0.02,0.04,0
77,31316,3,1,1,1,2,1,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0.5,2,39,Adulto,3,1,2,3,1,4,S,12,Idaho,0,0,0,0.2222222222,0,0,0,0,0,0.84,0.1,0.02,0.04,0
78,31916,3,1,1,1,2,1,1,1,1,0,1,1,3,1,0,0,0,0,0,0,0.5,0,2,63,Ciudadano_de_oro,1,2,0,6,1,8,R,46,Virginia,0.6666666667,0.8333333333,0.5555555556,0.1111111111,0.0404040404,0.5,0,0,0,0.01,0.02,0.96,0.01,0
79,30716,4,1,1,1,2,1,1,1,1,0,1,1,3,1,1,0,1,0,0,0,0,0,2,59,Mediana_edad,1,1,0,8,1,6,S,23,Minnesota,0,0,0.3333333333,0.1111111111,0.0707070707,0.5,0,0,0,0,0.99,0,0,0
80,30716,3,1,0,1,2,0,0,1,1,0,0,2,1,1,0,0,0,0,0,1,0.5,0.5,1,90,Ciudadano_de_oro,5,2,0,5,4,5,R,42,Tennessee,0,0,0,0,0.0404040404,0,1,0,0,0,0,0,0,0.99
81,40216,2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,2,58,Mediana_edad,3,2,0,4,2,3,U,13,Illinois,0,0,0,0,0.0303030303,0.125,0.5,0.75,0.99,0,0,0,0,0
82,31516,4,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,2,57,Mediana_edad,1,2,0,3,1,6,R,36,Oklahoma,0,0,0,0,0.2424242424,0.25,1,0,0,0,0.98,0,0.01,0
83,31216,4,1,0,1,4,0,0,1,1,0,0,1,3,0,1,1,0,0,0,0,0,0,2,67,Ciudadano_de_oro,1,2,0,3,3,4,R,19,Maine,0,0.8333333333,0.6666666667,0.1111111111,0.5050505051,0.375,0,0,0.19,0.04,0.03,0.08,0.05,0.61
84,31516,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,2,28,Adulto,6,2,0,6,1,6,S,34,North Dakota,0.5555555556,0.8333333333,0.5555555556,0.2222222222,0.303030303,0.25,0.75,0,0,0.01,0.01,0.97,0.01,0
85,31316,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,62,Ciudadano_de_oro,1,2,0,3,3,4,U,1,Alabama,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0
86,32016,4,1,0,1,2,0,0,1,1,0,0,1,2,0,1,1,0,1,0,0,0,0,1,72,Ciudadano_de_oro,2,2,0,6,1,98,R,50,Wyoming,0,0,0,0.6666666667,0.5252525253,0.25,0,0,0,0,0,0,0,0.99
87,32016,2,1,1,1,2,1,0,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0,2,61,Ciudadano_de_oro,3,2,0,3,3,6,S,47,Washington,0.6666666667,0,0.3333333333,0.1111111111,0.0202020202,0,0,0,0,0.14,0.13,0.26,0.44,0.03
88,40316,3,1,1,1,2,1,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0.5,0,1,35,Adulto,2,2,0,4,1,7,U,47,Washington,0.6666666667,0.1666666667,0.6666666667,0.2222222222,0.0404040404,0,0,0,0,0,0.01,0.98,0,0
89,31216,3,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,1,53,Mediana_edad,1,2,0,3,6,4,R,19,Maine,0,0,0,0,0.0101010101,0.375,0,0,0.4,0.01,0.01,0.01,0.02,0.54
90,33016,4,1,1,1,2,1,1,1,1,0,0,2,3,0,0,0,0,0,0,0,0.5,0.5,2,50,Mediana_edad,1,1,0,6,2,9,S,33,North Carolina,0,0,0,0.2222222222,0.0303030303,0,0,0,0,0,0.99,0,0.01,0
91,31116,4,1,1,1,2,1,1,1,1,0,1,1,3,1,1,0,0,0,1,1,0,0,2,62,Ciudadano_de_oro,1,2,0,8,3,6,S,45,Vermont,0,0,0.2222222222,0.2222222222,0.1212121212,0.375,0,0,0,0,1,0,0,0
92,40116,3,1,1,1,2,0,1,1,1,0,1,2,3,0,0,0,0,0,0,0,1,0,1,63,Ciudadano_de_oro,1,2,0,8,1,7,R,29,New Hampshire,0,0.5,0.2222222222,0.2222222222,0.0606060606,0,0,0,0.01,0.13,0.34,0.27,0.17,0.1
93,32516,2,1,1,1,2,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,2,61,Ciudadano_de_oro,1,2,0,3,3,8,U,48,West Virginia,0,0,0.5555555556,0.1111111111,0.0303030303,0.5,1,1,0,0.01,0.98,0.01,0.01,0
94,33016,2,1,1,1,2,1,0.5,1,1,0,0,2,2,1,0,0,0,0,0,0,1,0.5,1,38,Adulto,2,1,0,5,1,8,S,41,South Dakota,0,0,0,0,0.0202020202,0,0,0,0,0.03,0.36,0.01,0.6,0
